subject,video_set,emotion,intensity
3nsxj3yf,JeFEE,sadness,220.60080925481233
3nsxj3yf,JeFEE,fear,225.56473301778476
3nsxj3yf,JeFEE,happiness,237.62893590590923
3nsxj3yf,JeFEE,neutrality,58.52930515346603
473syksy,ADFES,surprise,241.68360948663326
473syksy,ADFES,anger,248.04699098108563
473syksy,ADFES,disgust,240.96156326315034
473syksy,ADFES,sadness,223.62753712731993
473syksy,ADFES,fear,223.39240207914992
473syksy,ADFES,happiness,251.3145438028727
473syksy,ADFES,neutrality,26.080310832270932
473syksy,JeFEE,surprise,241.9759580020629
473syksy,JeFEE,anger,237.93175902172138
473syksy,JeFEE,disgust,193.75376311526765
473syksy,JeFEE,sadness,108.51102297018126
473syksy,JeFEE,fear,212.81593666122345
473syksy,JeFEE,happiness,221.19223254099725
473syksy,JeFEE,neutrality,4.941737153132879
4ho7pfhd,ADFES,surprise,222.1194805125438
4ho7pfhd,ADFES,anger,222.61088516361437
4ho7pfhd,ADFES,disgust,244.2982537286269
4ho7pfhd,ADFES,sadness,237.10093557909005
4ho7pfhd,ADFES,fear,221.93916936269108
4ho7pfhd,ADFES,happiness,232.89247558763384
4ho7pfhd,ADFES,neutrality,37.499298485518175
4ho7pfhd,JeFEE,surprise,180.78225233920818
4ho7pfhd,JeFEE,anger,163.5655042156289
4ho7pfhd,JeFEE,disgust,186.19366179989413
4ho7pfhd,JeFEE,sadness,229.00638946548963
4ho7pfhd,JeFEE,fear,170.0438607642115
4ho7pfhd,JeFEE,happiness,188.4438354548293
4ho7pfhd,JeFEE,neutrality,64.9805216484302
4ovd9i0b,ADFES,surprise,211.60007646888596
4ovd9i0b,ADFES,anger,193.42924055823383
4ovd9i0b,ADFES,disgust,207.6249049829743
4ovd9i0b,ADFES,sadness,213.1808338598437
4ovd9i0b,ADFES,fear,237.659052575538
4ovd9i0b,ADFES,happiness,214.56002562139912
4ovd9i0b,ADFES,neutrality,24.868205013438395
4ovd9i0b,JeFEE,surprise,231.7638839495037
4ovd9i0b,JeFEE,anger,208.7335222219861
4ovd9i0b,JeFEE,disgust,225.65592652764263
4ovd9i0b,JeFEE,sadness,218.690162725984
4ovd9i0b,JeFEE,fear,177.94230779221982
4ovd9i0b,JeFEE,happiness,206.4630005857957
4ovd9i0b,JeFEE,neutrality,78.93593595455378
4ovdiwho,ADFES,surprise,230.94199178413623
4ovdiwho,ADFES,anger,207.1930189026421
4ovdiwho,ADFES,disgust,230.91539138090366
4ovdiwho,ADFES,sadness,202.7642623170044
4ovdiwho,ADFES,fear,243.92521018687557
4ovdiwho,ADFES,happiness,233.91017899910554
4ovdiwho,ADFES,neutrality,72.02867116158447
4ovdiwho,JeFEE,surprise,136.63228762776149
4ovdiwho,JeFEE,anger,176.0337314771399
4ovdiwho,JeFEE,disgust,169.74497592927568
4ovdiwho,JeFEE,sadness,162.39392546273092
4ovdiwho,JeFEE,fear,207.4782922006653
4ovdiwho,JeFEE,happiness,196.45896027706112
4ovdiwho,JeFEE,neutrality,41.299200283712445
60jre6xi,ADFES,surprise,147.88124457438522
60jre6xi,ADFES,anger,117.02980304583505
