Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Spreadsheet;Current Spreadsheet;Trial Number;Display;Screen;Screen ID;Screen Counter;Response Type;Response;Onset Time;Clock Time;Reaction Time;Absolute Onset Time;Absolute Clock Time;Absolute Reaction Time;Correct;Response Onset;Response Duration;Proportion;Tag;Component Name;Object Name;Object Number;Object ID;Spreadsheet: display;Manipulation: Spreadsheet
1;1685133613363;26/05/2023 20:40:13;1685140813363;2;27/05/2023 00:40:13;132490;1;task-gtxd;;29746399;tdyvghel;8850733;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1536x864;1440x794;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685133618655;26/05/2023 20:40:18;1685140818655;2;27/05/2023 00:40:18;132490;1;task-gtxd;;29746399;tdyvghel;8850733;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1536x864;1440x794;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;5324.1689999999535;5316.82;5324.1689999999535;5324.1689999999535;5316.82;5324.1689999999535;1;5324.1689999999535;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685133618659;26/05/2023 20:40:18;1685140818659;2;27/05/2023 00:40:18;132490;1;task-gtxd;;29746399;tdyvghel;8850733;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1536x864;1440x794;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685132183113;26/05/2023 20:16:23;1685139383113;2;27/05/2023 00:16:23;132490;1;task-gtxd;;29746086;yeyfqt3m;8850439;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x722;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685132185978;26/05/2023 20:16:25;1685139385978;2;27/05/2023 00:16:25;132490;1;task-gtxd;;29746086;yeyfqt3m;8850439;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x722;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;2879.015000023842;2866.7520000000004;2879.015000023842;2879.015000023842;2866.7520000000004;2879.015000023842;1;2879.015000023842;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685132185980;26/05/2023 20:16:25;1685139385980;2;27/05/2023 00:16:25;132490;1;task-gtxd;;29746086;yeyfqt3m;8850439;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x722;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685108021487;26/05/2023 13:33:41;1685115221487;2;26/05/2023 17:33:41;132490;1;task-gtxd;;29739092;d8k0xiv3;8848255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x929;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685108030907;26/05/2023 13:33:50;1685115230907;2;26/05/2023 17:33:50;132490;1;task-gtxd;;29739092;d8k0xiv3;8848255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x929;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;9448.258000000002;9431.567000000001;9448.258000000002;9448.258000000002;9431.567000000001;9448.258000000002;1;9448.258000000002;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685108030913;26/05/2023 13:33:50;1685115230913;2;26/05/2023 17:33:50;132490;1;task-gtxd;;29739092;d8k0xiv3;8848255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1920x1080;1920x929;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685098162850;26/05/2023 10:49:22;1685105362850;2;26/05/2023 14:49:22;132490;1;task-gtxd;;29735503;p0heb6q4;8846758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1920x914;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
