"subject","video_set","emotion","acc"
"8y0jbvqm","JeFEE","sadness",0.75
"8y0jbvqm","JeFEE","fear",0.75
"8y0jbvqm","JeFEE","happiness",0.75
"8zijzjdb","ADFES","surprise",1
"8zijzjdb","ADFES","anger",0.5
"8zijzjdb","ADFES","disgust",0.5
"8zijzjdb","ADFES","sadness",0.625
"8zijzjdb","ADFES","fear",0.75
"8zijzjdb","ADFES","happiness",0.625
"8zijzjdb","JeFEE","surprise",0.625
"8zijzjdb","JeFEE","anger",0.5
"8zijzjdb","JeFEE","disgust",0.625
"8zijzjdb","JeFEE","sadness",0.25
"8zijzjdb","JeFEE","fear",0.125
"8zijzjdb","JeFEE","happiness",0.625
"92n34v9a","ADFES","surprise",0.875
"92n34v9a","ADFES","anger",0.875
"92n34v9a","ADFES","disgust",0.875
"92n34v9a","ADFES","sadness",0.625
"92n34v9a","ADFES","fear",0.375
"92n34v9a","ADFES","happiness",0.75
"92n34v9a","JeFEE","surprise",0.625
"92n34v9a","JeFEE","anger",0.875
"92n34v9a","JeFEE","disgust",0.75
"92n34v9a","JeFEE","sadness",0.75
"92n34v9a","JeFEE","fear",0.875
"92n34v9a","JeFEE","happiness",0.5
"92pvi1pq","ADFES","surprise",1
"92pvi1pq","ADFES","anger",1
"92pvi1pq","ADFES","disgust",0.5
"92pvi1pq","ADFES","sadness",0.875
"92pvi1pq","ADFES","fear",0.875
"92pvi1pq","ADFES","happiness",0.875
"92pvi1pq","JeFEE","surprise",0.625
"92pvi1pq","JeFEE","anger",0.875
"92pvi1pq","JeFEE","disgust",0.5
"92pvi1pq","JeFEE","sadness",0.75
"92pvi1pq","JeFEE","fear",0.875
"92pvi1pq","JeFEE","happiness",0.5
"951c6gi6","ADFES","surprise",1
"951c6gi6","ADFES","anger",0.875
"951c6gi6","ADFES","disgust",0.75
"951c6gi6","ADFES","sadness",0.625
"951c6gi6","ADFES","fear",0.375
"951c6gi6","ADFES","happiness",0.875
"951c6gi6","JeFEE","surprise",0
"951c6gi6","JeFEE","anger",0.625
"951c6gi6","JeFEE","disgust",0.875
"951c6gi6","JeFEE","sadness",0
"951c6gi6","JeFEE","fear",0.125
"951c6gi6","JeFEE","happiness",0.625
"988oxs17","ADFES","surprise",0.875
"988oxs17","ADFES","anger",0.875
"988oxs17","ADFES","disgust",0.625
"988oxs17","ADFES","sadness",0.875
"988oxs17","ADFES","fear",1
"988oxs17","ADFES","happiness",1
"988oxs17","JeFEE","surprise",0.625
"988oxs17","JeFEE","anger",0.875
"988oxs17","JeFEE","disgust",0.75
"988oxs17","JeFEE","sadness",0.375
"988oxs17","JeFEE","fear",0.375
"988oxs17","JeFEE","happiness",0.75
"9p4umq2j","ADFES","surprise",1
"9p4umq2j","ADFES","anger",0.625
"9p4umq2j","ADFES","disgust",1
"9p4umq2j","ADFES","sadness",0.625
"9p4umq2j","ADFES","fear",0.5
"9p4umq2j","ADFES","happiness",0.375
"9p4umq2j","JeFEE","surprise",0.75
"9p4umq2j","JeFEE","anger",0.375
"9p4umq2j","JeFEE","disgust",0.5
"9p4umq2j","JeFEE","sadness",0.625
"9p4umq2j","JeFEE","fear",0.5
"9p4umq2j","JeFEE","happiness",0.125
"9wp4tjla","ADFES","surprise",1
"9wp4tjla","ADFES","anger",0.875
"9wp4tjla","ADFES","disgust",0.875
"9wp4tjla","ADFES","sadness",0.75
"9wp4tjla","ADFES","fear",0.75
"9wp4tjla","ADFES","happiness",1
"9wp4tjla","JeFEE","surprise",0.875
"9wp4tjla","JeFEE","anger",1
"9wp4tjla","JeFEE","disgust",0.5
"9wp4tjla","JeFEE","sadness",0.5
"9wp4tjla","JeFEE","fear",0.875
"9wp4tjla","JeFEE","happiness",0.375
"9yltrizp","ADFES","surprise",1
"9yltrizp","ADFES","anger",1
"9yltrizp","ADFES","disgust",1
"9yltrizp","ADFES","sadness",0.75
"9yltrizp","ADFES","fear",0.5
"9yltrizp","ADFES","happiness",0.75
"9yltrizp","JeFEE","surprise",0.625
"9yltrizp","JeFEE","anger",1
"9yltrizp","JeFEE","disgust",0.375
"9yltrizp","JeFEE","sadness",0.625
"9yltrizp","JeFEE","fear",0.5
"9yltrizp","JeFEE","happiness",0.875
"aaal34oe","ADFES","surprise",1
"aaal34oe","ADFES","anger",1
"aaal34oe","ADFES","disgust",1
"aaal34oe","ADFES","sadness",0.75
"aaal34oe","ADFES","fear",0.75
"aaal34oe","ADFES","happiness",0.75
"aaal34oe","JeFEE","surprise",0.75
"aaal34oe","JeFEE","anger",0.714285714285714
"aaal34oe","JeFEE","disgust",0.625
"aaal34oe","JeFEE","sadness",0
"aaal34oe","JeFEE","fear",0.5
"aaal34oe","JeFEE","happiness",0.25
"aqsvfz9l","ADFES","surprise",1
"aqsvfz9l","ADFES","anger",1
"aqsvfz9l","ADFES","disgust",0.75
"aqsvfz9l","ADFES","sadness",0.875
"aqsvfz9l","ADFES","fear",0.875
"aqsvfz9l","ADFES","happiness",1
"aqsvfz9l","JeFEE","surprise",0.625
"aqsvfz9l","JeFEE","anger",0.875
"aqsvfz9l","JeFEE","disgust",1
"aqsvfz9l","JeFEE","sadness",0.375
"aqsvfz9l","JeFEE","fear",0.714285714285714
"aqsvfz9l","JeFEE","happiness",1
"avr4ulis","ADFES","surprise",1
"avr4ulis","ADFES","anger",0.875
"avr4ulis","ADFES","disgust",0.75
"avr4ulis","ADFES","sadness",0.875
"avr4ulis","ADFES","fear",0.5
"avr4ulis","ADFES","happiness",0.75
"avr4ulis","JeFEE","surprise",0.25
"avr4ulis","JeFEE","anger",0
"avr4ulis","JeFEE","disgust",0.125
"avr4ulis","JeFEE","sadness",0.25
"avr4ulis","JeFEE","fear",0
"avr4ulis","JeFEE","happiness",0.25
"b3e2ff37","ADFES","surprise",1
"b3e2ff37","ADFES","anger",1
"b3e2ff37","ADFES","disgust",0.75
"b3e2ff37","ADFES","sadness",0.875
"b3e2ff37","ADFES","fear",0.75
"b3e2ff37","ADFES","happiness",0.875
"b3e2ff37","JeFEE","surprise",0.75
"b3e2ff37","JeFEE","anger",0.75
"b3e2ff37","JeFEE","disgust",1
"b3e2ff37","JeFEE","sadness",0.75
"b3e2ff37","JeFEE","fear",0.25
"b3e2ff37","JeFEE","happiness",0.75
"bd1hytn7","ADFES","surprise",1
"bd1hytn7","ADFES","anger",0
"bd1hytn7","ADFES","disgust",0.75
"bd1hytn7","ADFES","sadness",1
"bd1hytn7","ADFES","fear",0.75
"bd1hytn7","ADFES","happiness",0.5
"bd1hytn7","JeFEE","surprise",0.25
"bd1hytn7","JeFEE","anger",0
"bd1hytn7","JeFEE","disgust",0.75
"bd1hytn7","JeFEE","sadness",0.25
"bd1hytn7","JeFEE","fear",0.75
"bd1hytn7","JeFEE","happiness",0.25
"bs077ax2","ADFES","surprise",1
"bs077ax2","ADFES","anger",0.625
"bs077ax2","ADFES","disgust",0.5
"bs077ax2","ADFES","sadness",1
"bs077ax2","ADFES","fear",0.875
"bs077ax2","ADFES","happiness",0.375
"bs077ax2","JeFEE","surprise",1
"bs077ax2","JeFEE","anger",0.375
"bs077ax2","JeFEE","disgust",0.25
"bs077ax2","JeFEE","sadness",0.25
"bs077ax2","JeFEE","fear",0.375
"bs077ax2","JeFEE","happiness",0.5
"bywpsp3z","ADFES","surprise",1
"bywpsp3z","ADFES","anger",1
"bywpsp3z","ADFES","disgust",0.875
"bywpsp3z","ADFES","sadness",1
"bywpsp3z","ADFES","fear",0.714285714285714
"bywpsp3z","ADFES","happiness",0.75
"bywpsp3z","JeFEE","surprise",0.625
"bywpsp3z","JeFEE","anger",0.875
"bywpsp3z","JeFEE","disgust",0.5
"bywpsp3z","JeFEE","sadness",0.375
"bywpsp3z","JeFEE","fear",0.375
"bywpsp3z","JeFEE","happiness",0.875
"ceeg9oyy","ADFES","surprise",1
"ceeg9oyy","ADFES","anger",0.875
"ceeg9oyy","ADFES","disgust",0.75
"ceeg9oyy","ADFES","sadness",0.875
"ceeg9oyy","ADFES","fear",0.875
"ceeg9oyy","ADFES","happiness",1
"ceeg9oyy","JeFEE","surprise",0.625
"ceeg9oyy","JeFEE","anger",0.875
"ceeg9oyy","JeFEE","disgust",0.25
"ceeg9oyy","JeFEE","sadness",0.75
"ceeg9oyy","JeFEE","fear",0.875
"ceeg9oyy","JeFEE","happiness",1
"cru2t1ba","ADFES","surprise",1
"cru2t1ba","ADFES","anger",1
"cru2t1ba","ADFES","disgust",0.625
"cru2t1ba","ADFES","sadness",0.875
"cru2t1ba","ADFES","fear",0.5
"cru2t1ba","ADFES","happiness",0.625
"cru2t1ba","JeFEE","surprise",0.75
"cru2t1ba","JeFEE","anger",0.75
"cru2t1ba","JeFEE","disgust",0.375
"cru2t1ba","JeFEE","sadness",0.571428571428571
"cru2t1ba","JeFEE","fear",0.25
"cru2t1ba","JeFEE","happiness",0.625
"cwu5v0z3","ADFES","surprise",1
"cwu5v0z3","ADFES","anger",0.875
"cwu5v0z3","ADFES","disgust",1
"cwu5v0z3","ADFES","sadness",0.5
"cwu5v0z3","ADFES","fear",0.875
"cwu5v0z3","ADFES","happiness",0.75
"cwu5v0z3","JeFEE","surprise",0.75
"cwu5v0z3","JeFEE","anger",0.25
"cwu5v0z3","JeFEE","disgust",0.5
"cwu5v0z3","JeFEE","sadness",0.375
"cwu5v0z3","JeFEE","fear",0.625
"cwu5v0z3","JeFEE","happiness",0.625
"cyr153x5","ADFES","surprise",1
"cyr153x5","ADFES","anger",1
"cyr153x5","ADFES","disgust",0.75
"cyr153x5","ADFES","sadness",0.875
"cyr153x5","ADFES","fear",0.375
"cyr153x5","ADFES","happiness",1
"cyr153x5","JeFEE","surprise",0.625
"cyr153x5","JeFEE","anger",0.875
"cyr153x5","JeFEE","disgust",0.375
"cyr153x5","JeFEE","sadness",0.375
"cyr153x5","JeFEE","fear",0.25
"cyr153x5","JeFEE","happiness",0.25
"d86bycx0","ADFES","surprise",1
"d86bycx0","ADFES","anger",0.5
"d86bycx0","ADFES","disgust",0.375
"d86bycx0","ADFES","sadness",0.625
"d86bycx0","ADFES","fear",0.875
"d86bycx0","ADFES","happiness",0.625
"d86bycx0","JeFEE","surprise",0.625
"d86bycx0","JeFEE","anger",0.75
"d86bycx0","JeFEE","disgust",0.875
"d86bycx0","JeFEE","sadness",0.375
"d86bycx0","JeFEE","fear",0.714285714285714
"d86bycx0","JeFEE","happiness",0.25
"ddhzvuk9","ADFES","surprise",0.75
"ddhzvuk9","ADFES","anger",0.75
"ddhzvuk9","ADFES","disgust",0.875
"ddhzvuk9","ADFES","sadness",0.75
"ddhzvuk9","ADFES","fear",1
"ddhzvuk9","ADFES","happiness",1
"ddhzvuk9","JeFEE","surprise",0.375
"ddhzvuk9","JeFEE","anger",1
"ddhzvuk9","JeFEE","disgust",0.75
"ddhzvuk9","JeFEE","sadness",0.5
"ddhzvuk9","JeFEE","fear",0.625
"ddhzvuk9","JeFEE","happiness",0.625
"de5z1n9p","ADFES","surprise",0.75
"de5z1n9p","ADFES","anger",1
"de5z1n9p","ADFES","disgust",0.875
"de5z1n9p","ADFES","sadness",1
"de5z1n9p","ADFES","fear",0.75
"de5z1n9p","ADFES","happiness",1
"de5z1n9p","JeFEE","surprise",0.875
"de5z1n9p","JeFEE","anger",0.625
"de5z1n9p","JeFEE","disgust",0.75
"de5z1n9p","JeFEE","sadness",0.625
"de5z1n9p","JeFEE","fear",0.375
"de5z1n9p","JeFEE","happiness",0.875
"eegrig2e","ADFES","surprise",1
"eegrig2e","ADFES","anger",0.625
"eegrig2e","ADFES","disgust",0.625
"eegrig2e","ADFES","sadness",0.875
"eegrig2e","ADFES","fear",0.75
"eegrig2e","ADFES","happiness",0.875
"eegrig2e","JeFEE","surprise",0.625
"eegrig2e","JeFEE","anger",0.75
"eegrig2e","JeFEE","disgust",0.375
"eegrig2e","JeFEE","sadness",0.5
"eegrig2e","JeFEE","fear",0.625
"eegrig2e","JeFEE","happiness",0.5
"eu8fkf5c","ADFES","surprise",1
"eu8fkf5c","ADFES","anger",0.875
"eu8fkf5c","ADFES","disgust",0.5
"eu8fkf5c","ADFES","sadness",1
"eu8fkf5c","ADFES","fear",0.875
"eu8fkf5c","ADFES","happiness",1
"eu8fkf5c","JeFEE","surprise",0.625
"eu8fkf5c","JeFEE","anger",0.875
"eu8fkf5c","JeFEE","disgust",0.625
"eu8fkf5c","JeFEE","sadness",0.625
"eu8fkf5c","JeFEE","fear",0.875
"eu8fkf5c","JeFEE","happiness",0.75
"f0l877j4","ADFES","surprise",1
"f0l877j4","ADFES","anger",1
"f0l877j4","ADFES","disgust",0.625
"f0l877j4","ADFES","sadness",1
"f0l877j4","ADFES","fear",0.625
"f0l877j4","ADFES","happiness",0.857142857142857
"f0l877j4","JeFEE","surprise",0.25
"f0l877j4","JeFEE","anger",0.5
"f0l877j4","JeFEE","disgust",0.625
"f0l877j4","JeFEE","sadness",0.5
"f0l877j4","JeFEE","fear",0.5
"f0l877j4","JeFEE","happiness",0.625
"f3amrgcj","ADFES","surprise",1
"f3amrgcj","ADFES","anger",1
"f3amrgcj","ADFES","disgust",0.625
"f3amrgcj","ADFES","sadness",0.875
"f3amrgcj","ADFES","fear",1
"f3amrgcj","ADFES","happiness",0.75
"f3amrgcj","JeFEE","surprise",0.285714285714286
"f3amrgcj","JeFEE","anger",0.625
"f3amrgcj","JeFEE","disgust",0.25
"f3amrgcj","JeFEE","sadness",0.125
"f3amrgcj","JeFEE","fear",0.25
"f3amrgcj","JeFEE","happiness",0.5
"f71rfhei","ADFES","surprise",1
"f71rfhei","ADFES","anger",0.857142857142857
"f71rfhei","ADFES","disgust",0.875
"f71rfhei","ADFES","sadness",1
"f71rfhei","ADFES","fear",0.875
"f71rfhei","ADFES","happiness",0.75
"f71rfhei","JeFEE","surprise",0.625
"f71rfhei","JeFEE","anger",0.857142857142857
"f71rfhei","JeFEE","disgust",0.75
"f71rfhei","JeFEE","sadness",0.5
"f71rfhei","JeFEE","fear",0.625
"f71rfhei","JeFEE","happiness",0.875
"fexy1r4z","ADFES","surprise",0.75
"fexy1r4z","ADFES","anger",0.166666666666667
"fexy1r4z","ADFES","disgust",0.75
"fexy1r4z","ADFES","sadness",0.714285714285714
"fexy1r4z","ADFES","fear",0.285714285714286
"fexy1r4z","ADFES","happiness",0.428571428571429
"fexy1r4z","JeFEE","surprise",0
"fexy1r4z","JeFEE","anger",0.25
"fexy1r4z","JeFEE","disgust",0.5
"fexy1r4z","JeFEE","sadness",0.142857142857143
"fexy1r4z","JeFEE","fear",0
"fexy1r4z","JeFEE","happiness",0.5
"fkrn6z2h","ADFES","surprise",1
"fkrn6z2h","ADFES","anger",1
"fkrn6z2h","ADFES","disgust",0.75
"fkrn6z2h","ADFES","sadness",0.75
"fkrn6z2h","ADFES","fear",0.875
"fkrn6z2h","ADFES","happiness",0.875
"fkrn6z2h","JeFEE","surprise",0.5
"fkrn6z2h","JeFEE","anger",0.75
"fkrn6z2h","JeFEE","disgust",0.75
"fkrn6z2h","JeFEE","sadness",0
"fkrn6z2h","JeFEE","fear",0.625
"fkrn6z2h","JeFEE","happiness",0.25
