Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-7qdz,branch-3wqq,Randomise questionnaire elements?,Question Key,Response
1,1683028914870,02/05/2023 12:01:54,1683028911379,2,02/05/2023 14:01:51,131710,2,questionnaire-fh17,,29227692,f3amrgcj,8705082,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1280x720,1280x595,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683028919646,02/05/2023 12:01:59,1683028916202,2,02/05/2023 14:01:56,131710,2,questionnaire-fh17,,29227692,f3amrgcj,8705082,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1280x720,1280x595,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683028919757,02/05/2023 12:01:59,1683028916206,2,02/05/2023 14:01:56,131710,2,questionnaire-fh17,,29227692,f3amrgcj,8705082,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1280x720,1280x595,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,4827
1,1683029903761,02/05/2023 12:18:23,1683029903576,2,02/05/2023 14:18:23,131710,2,questionnaire-fh17,,29228050,hdq8xswj,8705181,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4.1,1440x900,1239x720,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683029911779,02/05/2023 12:18:31,1683029911629,2,02/05/2023 14:18:31,131710,2,questionnaire-fh17,,29228050,hdq8xswj,8705181,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4.1,1440x900,1239x720,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683029911932,02/05/2023 12:18:31,1683029911632,2,02/05/2023 14:18:31,131710,2,questionnaire-fh17,,29228050,hdq8xswj,8705181,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4.1,1440x900,1239x720,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,8056
1,1683043694714,02/05/2023 16:08:14,1683043694619,2,02/05/2023 18:08:14,131710,2,questionnaire-fh17,,29234305,pazaw89c,8707133,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.64,1536x864,1479x754,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683043701095,02/05/2023 16:08:21,1683043700913,2,02/05/2023 18:08:20,131710,2,questionnaire-fh17,,29234305,pazaw89c,8707133,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.64,1536x864,1479x754,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683043701179,02/05/2023 16:08:21,1683043700915,2,02/05/2023 18:08:20,131710,2,questionnaire-fh17,,29234305,pazaw89c,8707133,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.64,1536x864,1479x754,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,6296
1,1683046507963,02/05/2023 16:55:07,1683046508142,2,02/05/2023 18:55:08,131710,2,questionnaire-fh17,,29235140,3nsxj3yf,8707391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683046532199,02/05/2023 16:55:32,1683046532401,2,02/05/2023 18:55:32,131710,2,questionnaire-fh17,,29235140,3nsxj3yf,8707391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683046535735,02/05/2023 16:55:35,1683046532402,2,02/05/2023 18:55:32,131710,2,questionnaire-fh17,,29235140,3nsxj3yf,8707391,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1280x569,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,24260
1,1683047409231,02/05/2023 17:10:09,1683047412861,2,02/05/2023 19:10:12,131710,2,questionnaire-fh17,,29235375,fexy1r4z,8707496,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x722,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683047443547,02/05/2023 17:10:43,1683047447226,2,02/05/2023 19:10:47,131710,2,questionnaire-fh17,,29235375,fexy1r4z,8707496,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x722,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683047443653,02/05/2023 17:10:43,1683047447227,2,02/05/2023 19:10:47,131710,2,questionnaire-fh17,,29235375,fexy1r4z,8707496,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x722,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,34366
1,1683070318040,02/05/2023 23:31:58,1683070318331,2,03/05/2023 01:31:58,131710,2,questionnaire-fh17,,29241424,mpy5eqe2,8709261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x617,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683070347176,02/05/2023 23:32:27,1683070347418,2,03/05/2023 01:32:27,131710,2,questionnaire-fh17,,29241424,mpy5eqe2,8709261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x617,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683070347277,02/05/2023 23:32:27,1683070347421,2,03/05/2023 01:32:27,131710,2,questionnaire-fh17,,29241424,mpy5eqe2,8709261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x617,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,29090
1,1683103877898,03/05/2023 08:51:17,1683103877556,2,03/05/2023 10:51:17,131710,2,questionnaire-fh17,,29245825,mvxomygc,8710710,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1470x840,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683103887559,03/05/2023 08:51:27,1683103887282,2,03/05/2023 10:51:27,131710,2,questionnaire-fh17,,29245825,mvxomygc,8710710,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1470x840,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
