"subject","video_set","intensity"
"ddhzvuk9","JeFEE",197.211440007258
"de5z1n9p","ADFES",242.237831773707
"de5z1n9p","JeFEE",187.403007050681
"eegrig2e","ADFES",197.630236398955
"eegrig2e","JeFEE",196.395589775047
"eu8fkf5c","ADFES",225.832230762845
"eu8fkf5c","JeFEE",204.066061446529
"f0l877j4","ADFES",159.51093606743
"f0l877j4","JeFEE",133.34730425002
"f3amrgcj","ADFES",238.297267664969
"f3amrgcj","JeFEE",203.101464727311
"f71rfhei","ADFES",170.589813266101
"f71rfhei","JeFEE",150.950979896237
"fexy1r4z","ADFES",196.074126003434
"fexy1r4z","JeFEE",136.734657198797
"fkrn6z2h","ADFES",224.815037823381
"fkrn6z2h","JeFEE",171.852718084625
"fmjv8ry8","ADFES",182.479686013383
"fmjv8ry8","JeFEE",146.161882810803
"frd19iku","ADFES",187.236221360688
"frd19iku","JeFEE",179.958082623806
"g7790rx3","ADFES",236.855916958838
"g7790rx3","JeFEE",215.423951976856
"gexhmc79","ADFES",208.983865928876
"gexhmc79","JeFEE",195.397655312321
"hdq8xswj","ADFES",161.719204384187
"hdq8xswj","JeFEE",168.040893124192
"hnn1eyik","ADFES",201.378169662684
"hnn1eyik","JeFEE",163.70789179897
"hpndbzh9","ADFES",179.018403013019
"hpndbzh9","JeFEE",141.359651456947
"hq365287","ADFES",163.001257864515
"hq365287","JeFEE",137.366053024227
"hwvdllev","ADFES",202.090055945401
"hwvdllev","JeFEE",169.96024301898
"i6jntqic","ADFES",210.635334854245
"i6jntqic","JeFEE",217.094671944854
"ig6tayxh","ADFES",178.932149863683
"ig6tayxh","JeFEE",101.21818312054
"ii08kyt7","ADFES",212.55992829667
"ii08kyt7","JeFEE",171.472408611732
"iisgv5ob","ADFES",160.845244507676
"iisgv5ob","JeFEE",139.398235655381
"ix2h2wzp","ADFES",206.204404005114
"ix2h2wzp","JeFEE",162.719853133521
"j126wcyc","ADFES",197.57981028897
"j126wcyc","JeFEE",193.198646830847
"j29qyzxg","ADFES",228.33097229182
"j29qyzxg","JeFEE",167.362164924213
"je3rjmi2","ADFES",172.839688066801
"je3rjmi2","JeFEE",159.460165899921
"ji2rd390","ADFES",166.07187371867
"ji2rd390","JeFEE",110.887235867689
"jktqr01i","ADFES",107.772429275909
"jktqr01i","JeFEE",142.31221121072
"jv3dj12y","ADFES",210.733735414894
"jv3dj12y","JeFEE",207.64009029458
"l35gju5h","ADFES",191.986384374133
"l35gju5h","JeFEE",173.619851208117
"lhe9lp4f","ADFES",211.693736625143
"lhe9lp4f","JeFEE",207.253929825654
"mb9ge3oi","ADFES",227.070659879053
"mb9ge3oi","JeFEE",195.226348363255
"mcv912fz","ADFES",238.576046800653
"mcv912fz","JeFEE",238.524653850092
"mh056tf9","ADFES",238.372532280555
"mh056tf9","JeFEE",202.278267219978
"mpy5eqe2","ADFES",219.645557516859
"mpy5eqe2","JeFEE",194.757416733359
"mvxomygc","ADFES",189.228260709593
"mvxomygc","JeFEE",159.067594588547
"mylb0v9w","ADFES",237.847297277844
"mylb0v9w","JeFEE",191.497685038677
"n5dsmkhd","ADFES",226.780504362938
"n5dsmkhd","JeFEE",220.358347046727
"n7yv68im","ADFES",207.491612079913
"n7yv68im","JeFEE",168.07650583222
"nkcfvk3e","ADFES",222.368112858615
"nkcfvk3e","JeFEE",168.525120971598
"o2z7pip6","ADFES",211.085773724759
"o2z7pip6","JeFEE",169.424141108
"orbkyveq","ADFES",236.805251754751
"orbkyveq","JeFEE",193.52091687341
"ot2a67oz","ADFES",190.630201777116
"ot2a67oz","JeFEE",169.450502428571
"pazaw89c","ADFES",149.586884472848
"pazaw89c","JeFEE",128.793002235065
"q22rvuoa","ADFES",207.900016671194
"q22rvuoa","JeFEE",172.650077830181
"qacnye5g","ADFES",180.428285023707
"qacnye5g","JeFEE",123.025660798149
"r362zfk9","ADFES",216.526373257238
"r362zfk9","JeFEE",153.903156807054
"s0nlid8m","ADFES",185.662406466899
"s0nlid8m","JeFEE",149.172346836046
"sm064jgm","ADFES",202.928378897314
"sm064jgm","JeFEE",194.403901230197
"so42f37a","ADFES",209.818515668468
"so42f37a","JeFEE",145.927958705073
"t10d4kgz","ADFES",203.125791270152
"t10d4kgz","JeFEE",164.381812382076
"t1vpm2x9","ADFES",168.266561884696
"t1vpm2x9","JeFEE",142.976182591326
"tdi70eu6","ADFES",171.660703671725
"tdi70eu6","JeFEE",182.576405484003
"tebmtd92","ADFES",236.138905425356
"tebmtd92","JeFEE",196.358025084384
"tie104rp","ADFES",231.752718143384
"tie104rp","JeFEE",196.096302198447
"to4qz7t0","ADFES",203.501020498999
"to4qz7t0","JeFEE",203.329968486864
"tvhruw8t","ADFES",218.407201411886
"tvhruw8t","JeFEE",192.677007024287
"ug4upoq8","ADFES",222.467976952949
"ug4upoq8","JeFEE",163.979012569086
"upk4mqeg","ADFES",200.82502912383
"upk4mqeg","JeFEE",177.776485858711
"utiwr12j","ADFES",209.749706456739
"utiwr12j","JeFEE",192.037854814712
"v68f7op5","ADFES",203.962327063355
"v68f7op5","JeFEE",173.31463877457
"vvbrppbq","ADFES",209.218398145618
"vvbrppbq","JeFEE",189.675049377046
"wtxckmxu","ADFES",224.802934863674
"wtxckmxu","JeFEE",185.954084127632
"xj11h22r","ADFES",206.667318905669
"xj11h22r","JeFEE",183.725458562735
"y87qkks4","ADFES",225.716899089464
"y87qkks4","JeFEE",194.280513551621
"ygrth0br","ADFES",214.763131625145
"ygrth0br","JeFEE",173.896039724471
"yr9r7swn","ADFES",204.103138449107
"yr9r7swn","JeFEE",170.901708870507
"yybqcvmn","ADFES",229.953442664969
"yybqcvmn","JeFEE",202.272254435009
"z0ymvwd9","ADFES",197.731997999787
"z0ymvwd9","JeFEE",200.790994085352
"z8oj5iji","ADFES",187.908340426342
"z8oj5iji","JeFEE",177.65714183831
"zemiizcq","ADFES",238.734242884278
"zemiizcq","JeFEE",224.803852003722
"zzoz9ll0","ADFES",231.267101037686
"zzoz9ll0","JeFEE",200.615999714567
