"subject","video_set","emotion","intensity"
"8um8sps9","ADFES","surprise",206.032510367465
"8um8sps9","ADFES","anger",168.872590239883
"8um8sps9","ADFES","disgust",191.816426286699
"8um8sps9","ADFES","sadness",179.231931883344
"8um8sps9","ADFES","fear",194.887257752831
"8um8sps9","ADFES","happiness",207.248920205457
"8um8sps9","JeFEE","surprise",173.076737761454
"8um8sps9","JeFEE","anger",177.042074826452
"8um8sps9","JeFEE","disgust",184.372378318001
"8um8sps9","JeFEE","sadness",155.20570470151
"8um8sps9","JeFEE","fear",126.049304826458
"8um8sps9","JeFEE","happiness",200.360588509535
"8y0jbvqm","ADFES","surprise",254.430603596336
"8y0jbvqm","ADFES","anger",222.827412874077
"8y0jbvqm","ADFES","disgust",267.578198222378
"8y0jbvqm","ADFES","sadness",231.806127981381
"8y0jbvqm","ADFES","fear",237.237028652642
"8y0jbvqm","ADFES","happiness",226.409367608742
"8y0jbvqm","JeFEE","surprise",204.150881633053
"8y0jbvqm","JeFEE","anger",210.477850116361
"8y0jbvqm","JeFEE","disgust",194.431712316633
"8y0jbvqm","JeFEE","sadness",202.686233290185
"8y0jbvqm","JeFEE","fear",181.857221688051
"8y0jbvqm","JeFEE","happiness",177.793513474217
"8zijzjdb","ADFES","surprise",229.927241092482
"8zijzjdb","ADFES","anger",183.301795990297
"8zijzjdb","ADFES","disgust",209.367476030406
"8zijzjdb","ADFES","sadness",161.657272837829
"8zijzjdb","ADFES","fear",209.222030855769
"8zijzjdb","ADFES","happiness",165.227676103036
"8zijzjdb","JeFEE","surprise",153.954853807356
"8zijzjdb","JeFEE","anger",142.20699564474
"8zijzjdb","JeFEE","disgust",147.494221554752
"8zijzjdb","JeFEE","sadness",111.998050838216
"8zijzjdb","JeFEE","fear",119.086036010694
"8zijzjdb","JeFEE","happiness",156.376495721546
"92n34v9a","ADFES","surprise",229.888710140417
"92n34v9a","ADFES","anger",199.584231000923
"92n34v9a","ADFES","disgust",235.77873589244
"92n34v9a","ADFES","sadness",197.580079734952
"92n34v9a","ADFES","fear",223.196647321482
"92n34v9a","ADFES","happiness",206.935543730733
"92n34v9a","JeFEE","surprise",184.891659329539
"92n34v9a","JeFEE","anger",194.050970721018
"92n34v9a","JeFEE","disgust",213.597319121336
"92n34v9a","JeFEE","sadness",168.109913331769
"92n34v9a","JeFEE","fear",150.296316651939
"92n34v9a","JeFEE","happiness",160.866460269706
"92pvi1pq","ADFES","surprise",191.390042863889
"92pvi1pq","ADFES","anger",188.847669944657
"92pvi1pq","ADFES","disgust",198.911799642299
"92pvi1pq","ADFES","sadness",187.024040627453
"92pvi1pq","ADFES","fear",161.498617728458
"92pvi1pq","ADFES","happiness",163.471936644216
"92pvi1pq","JeFEE","surprise",175.57612078545
"92pvi1pq","JeFEE","anger",183.248921727058
"92pvi1pq","JeFEE","disgust",161.07287501613
"92pvi1pq","JeFEE","sadness",149.938401425553
"92pvi1pq","JeFEE","fear",146.197183795883
"92pvi1pq","JeFEE","happiness",197.079611339129
"951c6gi6","ADFES","surprise",167.972050571307
"951c6gi6","ADFES","anger",126.821876094143
"951c6gi6","ADFES","disgust",143.074855829808
"951c6gi6","ADFES","sadness",123.912904541735
"951c6gi6","ADFES","fear",160.980268315076
"951c6gi6","ADFES","happiness",145.162398307299
"951c6gi6","JeFEE","surprise",132.776439370878
"951c6gi6","JeFEE","anger",138.56185919991
"951c6gi6","JeFEE","disgust",135.786001257863
"951c6gi6","JeFEE","sadness",140.326590841106
"951c6gi6","JeFEE","fear",104.06759108574
"951c6gi6","JeFEE","happiness",136.031911356362
"988oxs17","ADFES","surprise",187.502818336742
"988oxs17","ADFES","anger",181.273801932719
"988oxs17","ADFES","disgust",212.999560667844
"988oxs17","ADFES","sadness",165.952070983328
"988oxs17","ADFES","fear",190.349880175307
"988oxs17","ADFES","happiness",188.280498796522
"988oxs17","JeFEE","surprise",157.976999554603
"988oxs17","JeFEE","anger",111.894496427574
"988oxs17","JeFEE","disgust",154.417454425032
"988oxs17","JeFEE","sadness",123.954335604553
"988oxs17","JeFEE","fear",103.549848427463
"988oxs17","JeFEE","happiness",189.40003784305
"9p4umq2j","ADFES","surprise",246.990409414917
"9p4umq2j","ADFES","anger",226.014727808965
"9p4umq2j","ADFES","disgust",227.399698086941
"9p4umq2j","ADFES","sadness",212.904886460697
"9p4umq2j","ADFES","fear",246.37665373148
"9p4umq2j","ADFES","happiness",249.8029990273
"9p4umq2j","JeFEE","surprise",225.799859301253
"9p4umq2j","JeFEE","anger",226.239778211105
"9p4umq2j","JeFEE","disgust",219.904835862263
"9p4umq2j","JeFEE","sadness",204.831892318477
"9p4umq2j","JeFEE","fear",209.965035487984
"9p4umq2j","JeFEE","happiness",229.647691060717
"9wp4tjla","ADFES","surprise",250.821055454118
"9wp4tjla","ADFES","anger",224.001531910409
"9wp4tjla","ADFES","disgust",243.919461031749
"9wp4tjla","ADFES","sadness",247.619465410947
"9wp4tjla","ADFES","fear",235.337480292646
"9wp4tjla","ADFES","happiness",252.350990100195
"9wp4tjla","JeFEE","surprise",224.60205076591
"9wp4tjla","JeFEE","anger",233.382742716508
"9wp4tjla","JeFEE","disgust",208.119666267096
"9wp4tjla","JeFEE","sadness",226.092967077928
"9wp4tjla","JeFEE","fear",225.618577483027
"9wp4tjla","JeFEE","happiness",215.87254495239
"9yltrizp","ADFES","surprise",212.735795079214
"9yltrizp","ADFES","anger",161.672193904586
"9yltrizp","ADFES","disgust",219.940294421345
"9yltrizp","ADFES","sadness",169.965507053159
"9yltrizp","ADFES","fear",220.755549027586
"9yltrizp","ADFES","happiness",230.590402285779
"9yltrizp","JeFEE","surprise",143.967340880417
"9yltrizp","JeFEE","anger",155.680884226134
"9yltrizp","JeFEE","disgust",120.43148550953
"9yltrizp","JeFEE","sadness",169.437148252585
"9yltrizp","JeFEE","fear",171.208278498997
"9yltrizp","JeFEE","happiness",181.918597247444
"aaal34oe","ADFES","surprise",222.956072688874
"aaal34oe","ADFES","anger",157.624306718953
"aaal34oe","ADFES","disgust",205.126542704511
"aaal34oe","ADFES","sadness",162.751456843191
"aaal34oe","ADFES","fear",223.088999913224
"aaal34oe","ADFES","happiness",212.123596007438
"aaal34oe","JeFEE","surprise",191.347673549671
"aaal34oe","JeFEE","anger",198.66662923228
"aaal34oe","JeFEE","disgust",171.61239228143
"aaal34oe","JeFEE","sadness",206.684308030005
