file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.started,p_port_3.stopped,secondary.started,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/02.subtle/JM1_Fear.mp4,fear,subtle,maschio,7,10,1646,926,3,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,8,8,2,,,0.1320484000025317,1468.009924199985,0.13936010000179522,0.0007234999793581665,0.0007234999793581665,1478.388913600007,1478.388913600007,0.016520999983185902,-49.0,-88.0,1,0,0,3.0444934999977704,'click_1',1.4199991710484028e-05,1481.43396569998,0.01554500000202097,,1481.9359310999862,1481.9359310999862,1481.9359310999862,0.0016130000003613532,0.01751279999734834,0.0016130000003613532,-139.0,-27.0,1,0,0,5.287089499994181,'click_2',1.4599994756281376e-05,0.015554199984762818,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/M02-Anger-Face Forward.mp4,angry,full,maschio,3,6,720,576,35,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,9,9,34,,,0.1321966999967117,1488.8474981999898,0.13958079999429174,0.0006795000226702541,0.0006795000226702541,1494.8269372000068,1494.8269372000068,0.016403500019805506,-75.0,122.0,1,0,0,5.620422199979657,'click_1',1.4200020814314485e-05,1500.448171600001,0.015771400008816272,,1500.950309399981,1500.950309399981,1500.950309399981,0.0019508000114001334,0.017884800006868318,0.0019508000114001334,-12.0,61.0,1,0,0,1.638947300001746,'click_2',1.4299992471933365e-05,0.015585099987220019,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/F03-Joy-Face Forward.mp4,happy,full,femmina,2,6,720,576,42,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,10,10,41,,,0.1277461999852676,1504.209178899997,0.13502909999806434,0.0006904999900143594,0.0006904999900143594,1510.226505300001,1510.226505300001,0.01641029998427257,174.0,114.0,1,0,0,4.383818100002827,'click_1',1.4500023098662496e-05,1514.6108457999944,0.015439200011314824,,1515.1128502000065,1515.1128502000065,1515.1128502000065,0.001490800001192838,0.01749460000428371,0.001490800001192838,188.0,47.0,1,0,0,2.9280377000104636,'click_2',1.4299992471933365e-05,0.015582199994241819,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF2_Surprise.mp4,surprised,subtle,femmina,6,10,1646,926,22,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,11,11,21,,,0.13504069999908097,1519.6680736999842,0.14240429998608306,0.0007164000126067549,0.0007164000126067549,1530.0449085999862,1530.0449085999862,0.016536500013899058,27.0,-132.0,1,0,0,2.7106689999927767,'click_1',1.4699995517730713e-05,1532.7560393000022,0.015434900007676333,,1533.2578442999802,1533.2578442999802,1533.2578442999802,0.0011916000221390277,0.017237899999599904,0.0011916000221390277,-91.0,16.0,1,0,0,1.2211335000174586,'click_2',1.4099990949034691e-05,0.015542499982984737,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF1_Happiness.mp4,happy,subtle,femmina,5,10,1646,926,13,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,12,12,12,,,0.1348052999819629,1536.1057565000083,0.14206300000660121,0.0006928000075276941,0.0006928000075276941,1546.8841161000018,1546.8841161000018,0.01645759999519214,76.0,129.0,1,0,0,3.982162900007097,'click_1',1.5199999324977398e-05,1550.8668118999922,0.015497000014875084,,1551.3687442000082,1551.3687442000082,1551.3687442000082,0.0013506000104825944,0.017455799999879673,0.0013506000104825944,195.0,29.0,1,0,0,1.2380390999896917,'click_2',1.4800025383010507e-05,0.015627400018274784,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF1_Surprise.mp4,surprised,subtle,femmina,5,10,1646,926,21,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,13,13,20,,,0.13404679999803193,1554.2327240000013,0.14124970001284964,0.0007130999874789268,0.0007130999874789268,1565.0117436999863,1565.0117436999863,0.016375000006519258,105.0,-159.0,1,0,0,1.5053675999806728,'click_1',1.4800025383010507e-05,1566.517912899988,0.015705900004832074,,1567.0197348000074,1567.0197348000074,1567.0197348000074,0.001636000000871718,0.017551500000990927,0.001636000000871718,124.0,84.0,1,0,0,2.577237499994226,'click_2',1.37000170070678e-05,0.015598600002704188,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/M03-Surprise-Face Forward.mp4,surprised,full,maschio,4,6,720,576,52,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,14,14,51,,,0.13094050000654534,1571.2201254999964,0.1382813999953214,0.0006929000082891434,0.0006929000082891434,1577.2007296000083,1577.2007296000083,0.016496700001880527,51.0,-193.0,1,0,0,1.5054407000134233,'click_1',1.8099992303177714e-05,1578.706638899981,0.015437299996847287,,1579.2088520999823,1579.2088520999823,1579.2088520999823,0.0016150999872479588,0.017700399999739602,0.0016150999872479588,101.0,-15.0,1,0,0,2.1765910999965854,'click_2',1.4099990949034691e-05,0.01434630001313053,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF2_Anger.mp4,angry,subtle,femmina,6,9,1646,926,6,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,15,15,5,,,0.1336081000044942,1583.0111901999917,0.14108760000090115,0.0007003000064287335,0.0007003000064287335,1592.468333900004,1592.468333900004,0.016587599995546043,-198.0,38.0,1,0,0,2.459776299976511,'click_1',1.3800017768517137e-05,1594.9276780000073,0.014640900015365332,1595.4296316999826,1595.4296316999826,1595.4296316999826,1595.4296316999826,0.00097490000189282,0.016612700012046844,0.00097490000189282,-51.0,87.0,1,0,0,3.2124244000006,'click_2',1.3900018529966474e-05,0.015616899996530265,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JF1_Neutral.mp4,neutral,subtle,femmina,5,10,1646,926,25,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,16,16,24,,,0.13427730000694282,1600.2688175000076,0.14159220000146888,0.0007002000056672841,0.0007002000056672841,1611.0479590999894,1611.0479590999894,0.016449699993245304,0.0,0.0,1,0,0,0.9361626000027172,'click_1',1.7799990018829703e-05,1611.984579699987,0.015321099985158071,,1612.4864770999993,1612.4864770999993,1612.4864770999993,0.0011895000061485916,0.017235999985132366,0.0011895000061485916,0.0,0.0,1,0,0,0.3176219000015408,'click_2',1.3900018529966474e-05,0.01562200000626035,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/F01-Surprise-Face Forward.mp4,surprised,full,femmina,1,6,720,576,49,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,17,17,48,,,0.13136870000744238,1614.4275109999871,0.1386806000082288,0.0006286000134423375,0.0006286000134423375,1620.4074298999913,1620.4074298999913,0.01641599999857135,38.0,-194.0,1,0,0,1.940689300012309,'click_1',1.3600016245618463e-05,1622.34858239998,0.0154575000051409,,1622.8506417000026,1622.8506417000026,1622.8506417000026,0.0015966000210028142,0.017544800008181483,0.0015966000210028142,24.0,-145.0,1,0,0,5.722858399996767,'click_2',1.4099990949034691e-05,0.01563399998121895,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
