file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,txt_iwi.stopped,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/01.full/M03-Sadness-Face Forward.mp4,sad,full,maschio,4,6,720,576,48,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,47,,,0.13627030001953244,515.4186453999719,0.14365680003538728,0.0007112000603228807,0.0007112000603228807,521.3949198999908,521.3949198999908,0.01643280009739101,-36.0,-204.0,1,0,0,2.6927438999991864,'click_1',1.4199991710484028e-05,524.0882979000453,0.015563399996608496,0.001456200028769672,0.001456200028769672,524.5901249999879,524.5901249999879,524.5901249999879,0.017405399936251342,-44.0,-208.0,1,0,0,1.371555000077933,'click_2',1.3999990187585354e-05,0.015628699911758304,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M02-Neutral-Face Forward.mp4,neutral,full,maschio,3,6,720,576,55,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,54,,,0.13717739994172007,527.5911031999858,0.14451779995579273,0.0007335999980568886,0.0007335999980568886,533.5673541999422,533.5673541999422,0.01642649993300438,0.0,0.0,1,0,0,1.0865571000613272,'click_1',1.3299984857439995e-05,534.6544844999444,0.01543969998601824,0.0015417999820783734,0.0015417999820783734,535.1564383000368,535.1564383000368,535.1564383000368,0.01742189994547516,0.0,0.0,1,0,0,0.6355092000449076,'click_2',1.3399985618889332e-05,0.015440499992109835,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JM2_Neutral.mp4,neutral,subtle,maschio,8,10,1646,926,28,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,14,14,27,,,0.13888390001375228,537.422766200034,0.14583159994799644,0.0007411999395117164,0.0007411999395117164,548.3653160999529,548.3653160999529,0.01647099992260337,2.0,0.0,1,0,0,1.1537672999547794,'click_1',1.4399993233382702e-05,549.5196231999435,0.015446499921381474,0.0012131999246776104,0.0012131999246776104,550.021303400048,550.021303400048,550.021303400048,0.017106999992392957,0.0,0.0,1,0,0,0.8697530999779701,'click_2',1.3499986380338669e-05,0.01553159998729825,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F03-Fear-Face Forward.mp4,fear,full,femmina,2,6,720,576,30,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,15,15,29,,,0.1356408999999985,552.5189764000243,0.1429960000095889,0.0006280000088736415,0.0006280000088736415,558.4944549000356,558.4944549000356,0.016469100024551153,-129.0,-162.0,1,0,0,2.492339999997057,'click_1',1.3699987903237343e-05,560.987376700039,0.015610900009050965,0.0015656999312341213,0.0015656999312341213,561.4892930999631,561.4892930999631,561.4892930999631,0.017535499995574355,30.0,-149.0,1,0,0,5.169377599959262,'click_2',1.3699987903237343e-05,0.015434899949468672,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F03-Neutral-Face Forward.mp4,neutral,full,femmina,2,6,720,576,54,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,16,16,53,,,0.1368058999069035,568.2876522999723,0.1441148999147117,0.0007187000010162592,0.0007187000010162592,574.2635351000354,574.2635351000354,0.016491200076416135,0.0,0.0,1,0,0,5.68797990004532,'click_1',1.4099990949034691e-05,579.9513474999694,0.014845099998638034,0.0009456999832764268,0.0009456999832764268,580.4531436000252,580.4531436000252,580.4531436000252,0.016697400016710162,0.0,0.0,1,0,0,0.4340496000368148,'click_2',1.3500102795660496e-05,0.01566370006185025,,,580.4531436000252,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M02-Fear-Face Forward.mp4,fear,full,maschio,3,6,720,576,31,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,17,17,30,,,0.1362708000233397,582.5158892000327,0.14361510006710887,0.0007360000163316727,0.0007360000163316727,588.4924214000348,588.4924214000348,0.016569299972616136,-120.0,-165.0,1,0,0,3.413114199996926,'click_1',1.4199991710484028e-05,591.9060740999412,0.015534400008618832,0.0015972999390214682,0.0015972999390214682,592.4080165999476,592.4080165999476,592.4080165999476,0.017523499904200435,26.0,-143.0,1,0,0,4.282643500017002,'click_2',1.4299992471933365e-05,0.015559500083327293,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F03-Disgust-Face Forward.mp4,disgusted,full,femmina,2,6,720,576,38,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,18,18,37,,,0.13702790008392185,598.3198746000417,0.1443053000839427,0.0006811999483034015,0.0006811999483034015,604.2970141000114,604.2970141000114,0.016433099983260036,-157.0,114.0,1,0,0,1.5885207999963313,'click_1',1.5099998563528061e-05,605.8861973000458,0.015651199966669083,0.0017091999761760235,0.0017091999761760235,606.3881036000093,606.3881036000093,606.3881036000093,0.01756579999346286,-179.0,115.0,1,0,0,1.2377688999986276,'click_2',1.379998866468668e-05,0.015390000073239207,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F01-Surprise-Face Forward.mp4,surprised,full,femmina,1,6,720,576,49,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,19,19,48,,,0.13648169999942183,609.2546434999676,0.1438101000385359,0.000734600005671382,0.000734600005671382,615.2317038000328,615.2317038000328,0.01651830004993826,45.0,-207.0,1,0,0,1.7563260999741033,'click_1',1.3899989426136017e-05,616.9885809000116,0.015558000071905553,0.0014377000043168664,0.0014377000043168664,617.4903833999997,617.4903833999997,617.4903833999997,0.017362300073727965,31.0,-212.0,1,0,0,3.8307047999696806,'click_2',1.379998866468668e-05,0.015472800005227327,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F01-Disgust-Face Forward.mp4,disgusted,full,femmina,1,6,720,576,37,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,20,20,36,,,0.13519480009563267,622.9485459999414,0.1424608000088483,0.0007262000581249595,0.0007262000581249595,628.9254226000048,628.9254226000048,0.016538799973204732,-159.0,113.0,1,0,0,2.040529299993068,'click_1',1.4099990949034691e-05,630.966593899997,0.015649599954485893,0.001867900020442903,0.001867900020442903,631.4686866999837,631.4686866999837,631.4686866999837,0.017744199954904616,-74.0,119.0,1,0,0,1.4214794000145048,'click_2',1.4499993994832039e-05,0.015635799965821207,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JM2_Sadness.mp4,sad,subtle,maschio,8,10,1646,926,20,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,21,21,19,,,0.13836139999330044,634.5207205000333,0.14561200002208352,0.0006831999635323882,0.0006831999635323882,645.0948898999486,645.0948898999486,0.01652599999215454,-41.0,-205.0,1,0,0,4.884845599997789,'click_1',1.3899989426136017e-05,649.9802257999545,0.015444799908436835,0.001441999920643866,0.001441999920643866,650.4822983000195,650.4822983000195,650.4822983000195,0.01754179992713034,-122.0,-82.0,1,0,0,1.1211915999883786,'click_2',1.3999990187585354e-05,0.01535069989040494,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
